Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2025-01-13,577.937744140625,578.2955919136582,571.9335705869851,572.3511203282558,47910100
2025-01-14,578.7329711914062,581.526283047168,574.9157463297618,580.8900687914388,48420600
2025-01-15,589.2601318359375,590.4132171193324,585.7013727042602,586.8246676759398,56900200
2025-01-16,588.1268920898438,590.8207614434976,587.4210861846398,590.6418375533192,43319700
2025-01-17,594.0316162109375,595.8010151082805,592.0732824246488,593.4153025943957,58070600
2025-01-21,599.4691162109375,599.4790665392256,595.1151195120758,597.1032436422324,42532900
2025-01-22,602.8389892578125,604.2107997343253,601.7653852603825,602.3220575789143,48196000
2025-01-23,606.1293334960938,606.1293334960938,601.9244704502144,602.2027762737087,41152100
2025-01-24,604.35986328125,607.1532358314879,603.1968276944665,606.1889641125276,34604700
2025-01-27,595.81103515625,596.1291423298717,591.1091405297034,591.2781141094356,70361100
2025-01-28,600.930419921875,601.7753484093994,593.7035692823513,597.0535535930056,44433300
2025-01-29,598.2365112304688,600.5427425880405,595.661863690058,600.1351431494525,37177400
2025-01-30,601.4473266601562,602.9980611492583,597.1529709966264,600.3737832488266,39281300
2025-01-31,598.2464599609375,606.3381400117711,597.4810127290995,603.8927254049834,66671500
2025-02-03,594.2205200195312,596.7255152502233,586.9837188197341,589.1507669136772,65857200
2025-02-04,598.2066650390625,598.7235360264071,593.7333859975146,594.2801079680467,33457800
2025-02-05,600.6321411132812,600.7812746894733,595.0256772776311,597.0734426682163,30653100
2025-02-06,602.7197265625,602.8489594864907,599.051635066865,602.3916690883134,35771500
2025-02-07,597.2026977539062,604.518980132331,596.4869415034437,603.2863528555321,50788500
2025-02-10,601.2584228515625,601.904587470542,599.1609664310816,600.4433453406357,26048700
2025-02-11,601.7157592773438,602.2624813268295,598.8528554234945,598.9721380280099,30056700
2025-02-12,599.7772827148438,600.9602190183091,594.9561058904112,595.6420111533067,45076100
2025-02-13,606.1094360351562,606.3182109084269,599.6182423802287,600.8906102579848,40921300
2025-02-14,606.0796508789062,607.3619690957353,605.4533869264999,606.3182160659691,26910400
2025-02-18,607.8590087890625,607.8590087890625,604.767490295972,607.2526454845143,26749000
2025-02-19,609.2904663085938,609.5886727994638,605.9404819368957,606.4574136362269,31011100
2025-02-20,606.755615234375,608.0478837995475,603.415581218095,607.9087005473524,36554000
2025-02-21,596.3776245117188,606.6760934066054,595.9103837703437,606.5369101497928,76519800
2025-02-24,593.663818359375,599.4492667675623,592.948062133992,598.4452543900395,50737200
2025-02-25,590.71142578125,594.3397765506367,586.0592226451632,593.6041803376665,58266500
2025-02-26,591.0096435546875,596.0197552375269,588.3455644774521,592.3914043988187,43321600
2025-02-27,581.5759887695312,594.469005075742,581.178400354161,593.3059087957712,74196700
2025-02-28,590.6517944335938,591.1885661100836,578.9815154204292,582.0829842300604,88744100
2025-03-03,580.3036499023438,593.7930798421835,576.456634439968,592.6399338326904,74249200
2025-03-04,573.4346313476562,581.9140099307576,568.8520197647429,576.2677446518286,109648200
2025-03-05,579.5978393554688,581.4070396387077,569.6771191196135,573.2656687004999,71230500
2025-03-06,569.309326171875,576.7249905948024,566.7346786412188,572.0628369267654,80094900
2025-03-07,572.5001831054688,573.9614858286079,562.2713067344182,567.5100330091421,81158800
2025-03-10,557.2513427734375,566.1581002592635,552.2909826575575,564.2197277241329,99326600
2025-03-11,552.6189575195312,560.6708965233902,548.7421519304726,556.0783347089355,88102100
2025-03-12,555.551513671875,559.7663275163131,550.4022789715292,558.8319066604055,69588200
2025-03-13,548.1456909179688,555.7900306808465,546.4160326198083,555.1737170498407,74079400
2025-03-14,559.4680786132812,560.4820413534102,548.2152885508418,552.807850521361,62660300
2025-03-17,563.7823486328125,566.3271452015323,559.0108019778189,559.448191732102,49008700
2025-03-18,557.688720703125,561.6649689744013,555.7403372080155,561.4462437696595,66041400
2025-03-19,563.762451171875,567.5597757254244,558.2951095487034,559.4879962192153,66556000
2025-03-20,562.1321411132812,567.1819933351081,559.2592872162537,559.9849937730086,62958200
2025-03-21,562.317626953125,563.2249787707245,556.3852134999472,557.6315290750271,83763000
2025-03-24,572.3878784179688,573.4547318251052,568.5193101051706,569.117517223541,58766800
2025-03-25,573.7637939453125,574.7109450377018,571.9989917299893,573.6042314829477,38355700
2025-03-26,566.9140625,574.631238497171,565.5181647693191,573.494584132638,51848300
2025-03-27,565.4085083007812,569.2172558810057,563.2748014981253,565.5081892015498,42164200
2025-03-28,554.0221557617188,564.600928853177,553.4339288758671,563.8631197528184,71662700
2025-03-31,557.7411499023438,559.0572663570716,545.2580345314915,548.209331507722,95328200
2025-04-01,559.3164672851562,561.2806921988606,552.0479770454208,555.8068841455135,54609600
2025-04-02,562.8560791015625,565.747494747627,553.1746777226398,553.4139605782862,76014500
2025-04-03,535.1180419921875,546.3547813001727,535.1180419921875,543.5032260055101,125986000
2025-04-04,503.7906494140625,524.3199552475792,503.57129666287966,522.1264277357504,217965100
2025-04-07,502.893310546875,521.6279038372442,480.37984959166755,487.74808166979307,256611400
2025-04-08,495.0166015625,523.432565399183,487.71817046987917,520.321766684984,165816600
2025-04-09,547.0029296875,547.0029296875,491.5967157695939,491.98558084417215,241867300
2025-04-10,523.0337524414062,531.9274425958545,507.8187234468108,530.6013458963056,162331200
2025-04-11,532.3661499023438,534.8488005902628,518.5370382681921,521.4683746979002,97866300
2025-04-14,537.5308837890625,542.6757082402244,532.2863784402284,542.4463448071801,68034000
2025-04-15,536.0253295898438,541.6287592452915,535.2276998357879,538.079255112781,56892900
2025-04-16,524.1105346679688,536.3045268284891,518.7563681804631,530.1128095536914,83484800
2025-04-17,524.8583374023438,529.604316656272,522.3657063534529,526.0847532599682,79741000
2025-04-21,512.3652954101562,520.1622525299349,506.96125797993665,519.6238052831814,69368100
2025-04-22,525.6959228515625,527.7398682752878,517.6596822546041,518.6068942866489,75948100
2025-04-23,533.841796875,543.8223014706125,532.306358035387,538.8370393033936,90590700
2025-04-24,545.07861328125,545.8164223668259,533.8717533370633,535.137968583152,64150400
2025-04-25,549.0169677734375,549.4257324957449,542.0874411745963,545.0387382920208,61119600
2025-04-28,549.226318359375,551.9183721484593,543.4135463851055,549.7647656303432,47613800
2025-04-29,552.6860961914062,553.8127702769649,546.9330843434874,547.2920086038646,47775100
2025-04-30,552.9054565429688,554.8796618213433,539.9238747243568,545.9560300157574,93101500
2025-05-01,556.8238525390625,562.4073827721945,556.2156651498251,558.7182765361568,63186100
2025-05-02,565.0894165039062,566.7046364907385,560.7223222120272,563.0653709624233,60717300
2025-05-05,561.8489990234375,564.9797581165675,560.0443366413908,560.9117673476358,38659200
2025-05-06,557.1528930664062,561.6894695117311,555.3183506499339,556.2854623092777,48264700
2025-05-07,559.4959716796875,562.1580845152806,554.4009877287364,558.4989192920236,55588000
2025-05-08,563.3944702148438,568.6289957190513,560.0443884974118,563.5739323580718,65130800
2025-05-09,562.6765747070312,565.8272334952061,561.1012148853195,564.8102205798259,37603400
2025-05-12,581.2716064453125,581.2815867067962,575.3391321114739,579.7560672258437,78993600
2025-05-13,585.1102905273438,587.343678293745,581.1220807001266,581.6903470478828,67947200
2025-05-14,585.8580932617188,587.2439499583633,583.8140869943453,586.0774155967079,66283500
2025-05-15,588.7196044921875,589.2280501171933,583.3753571741278,583.8340232035316,71268100
2025-05-16,592.4485473632812,592.7476509117832,587.5430666021017,589.5072306166389,76052100
2025-05-19,593.0966186523438,593.784587269064,586.3665146930052,586.3665146930052,68168500
2025-05-20,591.1025390625,592.2990142108393,587.8621184990102,591.341882776371,60614500
2025-05-21,581.1419677734375,590.8333490882792,580.1050551487234,586.7055374013049,95197700
2025-05-22,581.371337890625,584.8909013825514,579.6962362276395,580.942551785946,70860400
2025-05-23,577.4030151367188,580.0950688548037,573.9033513887334,574.2822361785879,76029000
2025-05-27,589.4075927734375,589.5670943925401,576.725053693289,584.3425491795706,72588500
2025-05-28,585.9976196289062,591.0228029471133,585.2598105493923,589.8163475692377,68445500
2025-05-29,588.310791015625,591.4515306022613,584.342541704147,591.3119286527991,69973300
2025-05-30,587.6527709960938,589.3876325602934,581.5208739520402,587.194104951146,90601200
2025-06-02,590.9629516601562,591.0426720366128,583.3354764354921,586.0275300945058,61630500
2025-06-03,594.3330078125,595.3200799781005,590.1054544048488,590.5940612123461,63606200
2025-06-04,594.1734619140625,596.1875273458553,593.7347563998676,595.2004551527299,57314200
2025-06-05,591.3019409179688,597.2344151426059,589.3078360260068,595.8684581600321,92278700
2025-06-06,597.3740234375,599.0590445233215,595.1007146259882,596.8953968767723,66588700
2025-06-09,597.9124145507812,599.477794222525,596.7259196839311,597.9522747414663,53016400
2025-06-10,601.3023681640625,601.6911723434343,597.3241388928317,598.4507520987654,66247000
2025-06-11,599.5874633789062,603.2765697174132,597.5036577794746,602.4091389302424,73658200
2025-06-12,601.9703979492188,601.9703979492188,597.7528856906831,598.2414316391353,64129000
2025-06-13,595.2402954101562,600.0759753105004,593.7247562563699,596.73587404184,89506000
2025-06-16,600.903564453125,602.6683667667999,598.4507935133779,598.6303165073551,79984100
2025-06-17,595.768798828125,599.9763310919831,595.0010489432416,598.4408921774705,82209400
2025-06-18,595.6790161132812,599.4478427165867,594.711843595377,596.6760685598517,76605000
2025-06-20,594.280029296875,599.4600219726562,592.8599853515625,598.3800048828125,94051400
2025-06-23,600.1500244140625,600.5399780273438,591.8900146484375,595.0399780273438,87426000
2025-06-24,606.780029296875,607.8499755859375,603.4099731445312,604.3300170898438,67735300
2025-06-25,607.1199951171875,608.6099853515625,605.5399780273438,607.9099731445312,62114800
2025-06-26,611.8699951171875,612.3099975585938,608.3699951171875,608.989990234375,78548400
2025-06-27,614.9099731445312,616.3900146484375,610.8300170898438,612.8800048828125,86258400
2025-06-30,617.8499755859375,619.219970703125,615.0399780273438,617.3800048828125,92502500
2025-07-01,617.6500244140625,618.8300170898438,615.52001953125,616.3599853515625,70030100
2025-07-02,620.4500122070312,620.489990234375,616.6099853515625,617.239990234375,66510400
2025-07-03,625.3400268554688,626.280029296875,622.4299926757812,622.4500122070312,51065800
2025-07-07,620.6799926757812,624.030029296875,617.8699951171875,623.3599853515625,74814500
2025-07-08,620.3400268554688,622.1099853515625,619.52001953125,621.3499755859375,59024600
2025-07-09,624.0599975585938,624.719970703125,620.9099731445312,622.77001953125,66113300
2025-07-10,625.8200073242188,626.8699951171875,623.010009765625,624.2000122070312,57529000
2025-07-11,623.6199951171875,624.8599853515625,621.530029296875,622.739990234375,63624600
