conid,symbol,rank
560066464,YINN,0
4815747,NVDA,1
677037673,IBIT,2
731466419,SMCI,3
72539702,TQQQ,4
692767261,PSQ,5
76792991,TSLA,6
166090175,BABA,7
15547841,TLT,8
31421120,FXI,9
735455052,YANG,10
709237125,TEM,11
639094583,BITX,12
694302881,BITU,13
665380902,TMF,14
602261424,NVDL,15
717824180,MSTX,16
4391,AMD,17
578561452,CONL,18
444857009,PLTR,19
517641765,DJT,20
474829650,IAU,21
416854749,TMV,22
326398585,PDD,23
132310537,KWEB,24
365207014,UBER,25
504546674,HOOD,26
356068332,FUTU,27
208813719,GOOGL,28
583996488,GGLL,29
562283011,KOLD,30
3691937,AMZN,31
13824,WMT,32
35359385,BIDU,33
4726021,SWKS,34
753278772,TSDD,35
476026060,RBLX,36
208813720,GOOG,37
481691285,COIN,38
660309051,TSLT,39
653400472,ARM,40
152486141,JD,41
466188387,HIMS,42
677037663,ARKB,43
55679435,TNA,44
560066423,CWEB,45
272110,MSTR,46
554208336,EDU,47
7238,FMC,48
265598,AAPL,49
